question_id,category,question_text,answer_a_text,answer_a_family,answer_b_text,answer_b_family,answer_c_text,answer_c_family,answer_d_text,answer_d_family,answer_e_text,answer_e_family
Q106,humor,"Your sense of humor is best described as:","Dry and understated — you find things funny but you don't perform it",B,"Sharp and precise — your humor cuts cleanly and lands exactly",V,"Warm and generous — you love to make people laugh and feel good",R,"Playful and intimate — your humor lives in the relationship",P,"Quick and physical — wit that moves fast and sometimes catches people off guard",K
Q107,humor,"The kind of comedy you enjoy most is:","Absurdist or deadpan — humor that comes from the strangeness of existence",B,"Intelligent and ironic — wit that rewards close attention",V,"Warm and inclusive — humor that brings people together",R,"Emotional and relational — comedy about the painful truth of being human",P,"Physical and fast — timing-based humor, action comedy, improv",K
Q108,humor,"When you make someone genuinely laugh, you feel:","Mildly pleased — it was noted but you don't need to build on it",B,"Satisfied — your assessment of what would land was correct",V,"Delighted — their pleasure is your pleasure",R,"Connected — laughter is intimacy",P,"Energized — you want to keep going",K
Q109,humor,"Your humor tends to emerge most naturally when:","You are very relaxed and feel no pressure",B,"You see something that is precisely absurd or logically ridiculous",V,"You are with people you love and the atmosphere is warm",R,"You feel safe and in genuine connection with someone",P,"You are energized and things are moving quickly",K
Q110,humor,"The kind of humor you find least funny is:","Frantic, loud, or performative humor that demands a reaction",B,"Sloppy humor that aims roughly and hopes for the best",V,"Cold or mean-spirited humor — wit used as a weapon",R,"Humor that mocks vulnerability or makes someone feel small",P,"Slow or overly subtle humor that takes too long to arrive",K
Q111,humor,"When something genuinely strikes you as funny, you:","Smile quietly or emit a single short laugh — you don't make a scene",B,"Appreciate it with a slight nod — you register its precision",V,"Laugh openly and fully — you don't hold back",R,"Laugh with your whole body — humor goes right through you",P,"Laugh quickly and move on — already onto the next thing",K
Q112,humor,"Your humor in difficult situations tends to be:","Absent — you go inward when things are hard",B,"Sardonic — dark humor that names the absurdity",V,"Warm and comforting — you use humor to soothe",R,"Self-deprecating — you make yourself the subject",P,"Deflecting — a quick joke and back to solving the problem",K
Q113,humor,"The thing you find funniest about yourself is:","Your capacity to disappear from situations that require too much",B,"Your inability to let imprecision pass without comment",V,"Your relationship to comfort and pleasure — you know it's a lot",R,"How hard your feelings hit you — you feel everything so intensely",P,"How incapable you are of doing nothing — the compulsion is real",K
Q114,humor,"The kind of joke you are most likely to make is:","An observation so quiet that half the room misses it",B,"A precisely observed absurdity that lands with exactness",V,"A generous riff that makes everyone feel included",R,"Something personal and vulnerable that connects",P,"A fast, smart one-liner that keeps the energy moving",K
Q115,humor,"Your playfulness tends to come out most with:","Solitude — you are quietly playful on your own",B,"Intellectual equals — play through ideas and wit",V,"People you love — humor as warmth and generosity",R,"Close intimates — play as a form of deep connection",P,"Collaborators — play as a mode of creative problem-solving",K
Q116,childhood,"As a child, you were most often described as:","Easygoing and in your own world",B,"Serious, precise, and older than your years",V,"Warm, generous, and the one who made everyone comfortable",R,"Sensitive, expressive, and deeply feeling",P,"Energetic, driven, and always organizing something",K
Q117,childhood,"The role you most often played in your family of origin was:","The quiet one — present but not demanding",B,"The one who knew things and kept standards",V,"The one who held the warmth and made sure everyone was fed",R,"The emotional heart — you felt what others couldn't express",P,"The one who got things done and moved the family forward",K
Q118,childhood,"Your experience of school was most characterized by:","Quiet disengagement — you were there but often elsewhere",B,"Strong opinions about quality — you knew when something was done well",V,"The richness of certain subjects and teachers who opened worlds",R,"The intensity of friendships and the pain of social dynamics",P,"Impatience — you wanted to do real things, not practice",K
Q119,childhood,"As a child, what did you most need from the adults around you?","To be left in peace — space to be without demands",B,"To be taken seriously — your intelligence respected",V,"To be provided for abundantly — warmth, comfort, and richness",R,"To be seen and felt — emotional attunement and genuine presence",P,"To be given real responsibility — something meaningful to do",K
Q120,childhood,"The child you were is most recognizable in you now when:","You are alone and have nothing to do",B,"You encounter something that is wrong or imprecise",V,"You are with people you love and there is good food and warmth",R,"Something touches you deeply and the feeling rises without warning",P,"You are in the middle of something that genuinely matters",K
Q121,childhood,"Your most vivid positive childhood memories tend to involve:","Quiet moments alone — reading, exploring, being in nature",B,"Moments of understanding something perfectly or being recognized for it",V,"Abundance and warmth — holidays, feasts, gatherings of people you loved",R,"Moments of deep connection — a friendship, a first love, a moment of being truly seen",P,"Moments of accomplishment — finishing something, winning something, building something",K
Q122,childhood,"Your most vivid difficult childhood memories tend to involve:","Being forced into social situations that felt overwhelming",B,"Being misunderstood or dismissed — your intelligence or views not respected",V,"Scarcity — not having enough comfort, warmth, or material security",R,"Emotional abandonment or disconnection — not being seen or loved",P,"Helplessness — being unable to act or change something that needed changing",K
Q123,childhood,"The way you played as a child reflects something still true about you now:",- "You played quietly and alone — building interior worlds",B,"You played with rules and precision — games, puzzles, structured imagination",V,"You played with abundance — pretend feasts, rich stories, collecting things",R,"You played with relationships — dolls, role-play, stories about people",P,"You played to win — sports, competition, building actual things",K
Q124,childhood,"What you wanted to be when you grew up reflects your energy:","Something wise and quiet — a monk, a naturalist, a philosopher",B,"Something rigorous and respected — a scientist, a doctor, a lawyer",V,"Something rich and generous — a chef, an entrepreneur, a host",R,"Something expressive and connective — an artist, a teacher, a therapist",P,"Something that built or led — an engineer, a general, a founder",K
Q125,childhood,"The wound from childhood that still surfaces sometimes is:","The sense that your inner life was never quite seen",B,"The sense that you were judged as cold, difficult, or too demanding",V,"The sense that there was never quite enough — of warmth, security, or richness",R,"The sense that your feelings were too much — too intense for the people around you",P,"The sense that you could never fully stop — rest was never safe",K
